 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 29, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Iron in Iron.txt

 Ion = Iron [26] , Mass = 55.935 amu

 Target Density =  7.8658E+00 g/cm3 = 8.4817E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Fe     26    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  32.50 keV   1.968E+01  1.972E+02     124 A        66 A        47 A   
  35.00 keV   2.042E+01  1.984E+02     131 A        69 A        50 A   
  37.50 keV   2.114E+01  1.994E+02     139 A        73 A        52 A   
  40.00 keV   2.183E+01  2.002E+02     146 A        77 A        55 A   
  45.00 keV   2.315E+01  2.014E+02     162 A        84 A        60 A   
  50.00 keV   2.441E+01  2.020E+02     177 A        90 A        64 A   
  55.00 keV   2.560E+01  2.023E+02     192 A        97 A        69 A   
  60.00 keV   2.674E+01  2.023E+02     207 A       104 A        74 A   
  65.00 keV   2.783E+01  2.021E+02     222 A       111 A        78 A   
  70.00 keV   2.888E+01  2.017E+02     237 A       118 A        83 A   
  80.00 keV   3.087E+01  2.005E+02     268 A       131 A        92 A   
  90.00 keV   3.274E+01  1.989E+02     299 A       144 A       101 A   
 100.00 keV   3.452E+01  1.971E+02     330 A       157 A       110 A   
 110.00 keV   3.620E+01  1.951E+02     361 A       170 A       118 A   
 120.00 keV   3.878E+01  1.929E+02     392 A       183 A       127 A   
 130.00 keV   4.080E+01  1.908E+02     424 A       196 A       136 A   
 140.00 keV   4.223E+01  1.886E+02     456 A       209 A       145 A   
 150.00 keV   4.332E+01  1.864E+02     488 A       222 A       153 A   
 160.00 keV   4.431E+01  1.842E+02     521 A       234 A       162 A   
 170.00 keV   4.539E+01  1.820E+02     553 A       247 A       171 A   
 180.00 keV   4.666E+01  1.798E+02     586 A       260 A       179 A   
 200.00 keV   4.961E+01  1.756E+02     653 A       285 A       197 A   
 225.00 keV   5.351E+01  1.705E+02     738 A       317 A       219 A   
 250.00 keV   5.725E+01  1.658E+02     824 A       348 A       241 A   
 275.00 keV   6.077E+01  1.612E+02     911 A       378 A       263 A   
 300.00 keV   6.415E+01  1.570E+02     998 A       408 A       285 A   
 325.00 keV   6.743E+01  1.529E+02    1087 A       438 A       308 A   
 350.00 keV   7.066E+01  1.491E+02    1176 A       468 A       330 A   
 375.00 keV   7.384E+01  1.455E+02    1266 A       497 A       352 A   
 400.00 keV   7.700E+01  1.421E+02    1357 A       525 A       375 A   
 450.00 keV   8.325E+01  1.358E+02    1539 A       581 A       420 A   
 500.00 keV   8.940E+01  1.301E+02    1723 A       635 A       465 A   
 550.00 keV   9.544E+01  1.250E+02    1907 A       688 A       510 A   
 600.00 keV   1.014E+02  1.203E+02    2092 A       739 A       554 A   
 650.00 keV   1.072E+02  1.160E+02    2276 A       788 A       598 A   
 700.00 keV   1.129E+02  1.121E+02    2461 A       835 A       642 A   
 800.00 keV   1.239E+02  1.050E+02    2828 A       925 A       727 A   
 900.00 keV   1.344E+02  9.898E+01    3192 A      1009 A       809 A   
   1.00 MeV   1.446E+02  9.369E+01    3552 A      1088 A       889 A   
   1.10 MeV   1.545E+02  8.903E+01    3907 A      1161 A       966 A   
   1.20 MeV   1.641E+02  8.488E+01    4257 A      1230 A      1040 A   
   1.30 MeV   1.735E+02  8.115E+01    4601 A      1295 A      1111 A   
   1.40 MeV   1.827E+02  7.779E+01    4940 A      1355 A      1179 A   
   1.50 MeV   1.917E+02  7.474E+01    5273 A      1412 A      1245 A   
   1.60 MeV   2.006E+02  7.196E+01    5600 A      1466 A      1308 A   
   1.70 MeV   2.094E+02  6.940E+01    5922 A      1516 A      1369 A   
   1.80 MeV   2.182E+02  6.705E+01    6238 A      1564 A      1427 A   
   2.00 MeV   2.354E+02  6.286E+01    6852 A      1652 A      1537 A   
   2.25 MeV   2.566E+02  5.839E+01    7589 A      1750 A      1664 A   
   2.50 MeV   2.776E+02  5.460E+01    8293 A      1835 A      1778 A   
   2.75 MeV   2.985E+02  5.133E+01    8966 A      1910 A      1883 A   
   3.00 MeV   3.191E+02  4.848E+01    9609 A      1977 A      1979 A   
   3.25 MeV   3.396E+02  4.597E+01    1.02 um     2036 A      2067 A   
   3.50 MeV   3.600E+02  4.374E+01    1.08 um     2089 A      2147 A   
   3.75 MeV   3.802E+02  4.174E+01    1.14 um     2136 A      2222 A   
   4.00 MeV   4.002E+02  3.993E+01    1.19 um     2179 A      2291 A   
   4.50 MeV   4.397E+02  3.681E+01    1.30 um     2255 A      2414 A   
   5.00 MeV   4.784E+02  3.419E+01    1.39 um     2318 A      2521 A   
   5.50 MeV   5.162E+02  3.196E+01    1.48 um     2372 A      2614 A   
   6.00 MeV   5.532E+02  3.003E+01    1.57 um     2418 A      2697 A   
   6.50 MeV   5.891E+02  2.834E+01    1.65 um     2457 A      2770 A   
   7.00 MeV   6.241E+02  2.686E+01    1.72 um     2492 A      2836 A   
   8.00 MeV   6.910E+02  2.435E+01    1.87 um     2553 A      2950 A   
   9.00 MeV   7.540E+02  2.231E+01    2.00 um     2602 A      3045 A   
  10.00 MeV   8.131E+02  2.062E+01    2.12 um     2642 A      3125 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E+00                 eV / Angstrom 
  1.0000E+01                keV / micron   
  1.0000E+01                MeV / mm       
  1.2714E-02                keV / (ug/cm2) 
  1.2714E-02                MeV / (mg/cm2) 
  1.2714E+01                keV / (mg/cm2) 
  1.1790E+00                 eV / (1E15 atoms/cm2)
  1.7258E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
